COMMON_NAME,N
Abdim's Stork,1
Abert's Towhee,146418
Acadian Flycatcher,223290
Acorn Woodpecker,462999
African Collared-Dove,433
African Collared-Dove (Domestic type or Ringe,421
African Silverbill,5135
Akekee,216
Akiapolaau,1326
Akikiki,101
Akohekohe,248
Alder Flycatcher,91456
Aleutian Tern,3022
Alexandrine Parakeet,3
Allen's Hummingbird,196349
Altamira Oriole,29893
Altamira x Audubon's Oriole (hybrid),181
Amazon Kingfisher,745
American Avocet,338625
American Bittern,118814
American Black Duck,665670
American Coot,1942414
American Crow,6974301
American Dipper,55762
American Flamingo,1210
American Golden-Plover,59552
American Goldfinch,5051353
American Kestrel,1611552
American Oystercatcher,181447
American Pipit,354046
American Pygmy Kingfisher,1
American Redstart,860102
American Robin,7059604
American Three-toed Woodpecker,12759
American Tree Sparrow,571532
American White Pelican,617112
American Wigeon,924068
American Wigeon x Green-winged Teal (hybrid),8
American Wigeon x Mallard (hybrid),284
American Wigeon x Northern Pintail (hybrid),8
American Woodcock,110043
American x Black Oystercatcher (hybrid),771
Amethyst-throated Hummingbird,2
Ancient Murrelet,9301
Anhinga,396928
Anianiau,862
Anna's Hummingbird,1230980
Anna's Hummingbird x Selasphorus sp. (hybrid),11
Anna's x Allen's Hummingbird (hybrid),45
Anna's x Calliope Hummingbird (hybrid),73
Anna's x Costa's Hummingbird (hybrid),113
Anna's x Rufous Hummingbird (hybrid),75
Antillean Nighthawk,995
Apapane,19363
Aplomado Falcon,5239
Arctic Loon,1420
Arctic Tern,37606
Arctic Warbler,2393
Arizona Woodpecker,24418
Ash-throated Flycatcher,215207
Ashy Storm-Petrel,12573
Asian Brown Flycatcher,21
Asian Fairy-bluebird,1
Asian Rosy-Finch,1
Atlantic Puffin,9386
Audubon's Oriole,9061
Audubon's Shearwater,10164
Australian Shelduck,2
Aztec Thrush,69
Bachman's Sparrow,17396
Baer's Pochard,3
Bahama Mockingbird,467
Bahama Swallow,15
Bahama Woodstar,100
Baikal Teal,150
Baird's Sandpiper,81813
Baird's Sparrow,3051
Bald Eagle,1821444
Baltimore Oriole,964975
Bananaquit,415
Band-rumped Storm-Petrel,5735
Band-tailed Pigeon,224882
Bank Swallow,246580
Bar-headed Goose,198
Bar-headed x Canada Goose (hybrid),1
Bar-tailed Godwit,4999
Bare-throated Tiger-Heron,32
Barn Owl,78920
Barn Swallow,2526370
Barn x Cliff Swallow (hybrid),32
Barnacle Goose,3209
Barnacle x Cackling Goose (hybrid),71
Barnacle x Canada Goose (hybrid),95
Barolo Shearwater,18
Barred Owl,328021
Barrow's Goldeneye,77767
Barrow's Goldeneye x Hooded Merganser (hybrid,10
Bay-breasted Warbler,112663
Bay-breasted x Blackpoll Warbler (hybrid),2
Bearded Barbet,1
Bell's Sparrow,20271
Bell's Vireo,124226
Belted Kingfisher,1886368
Bendire's Thrasher,6312
Bermuda Petrel,9
Berylline Hummingbird,490
Bewick's Wren,881864
Bicknell's Thrush,5000
Black-and-white Mannikin,12
Black-and-white Warbler,756711
Black-backed Oriole,707
Black-backed Woodpecker,13186
Black-bellied Plover,445211
Black-bellied Storm-Petrel,2
Black-bellied Whistling-Duck,224298
Black-bellied x Fulvous Whistling-Duck (hybri,6
Black-billed Cuckoo,62111
Black-billed Cuckoo-Dove,3
Black-billed Magpie,574037
Black-browed Albatross,4
Black-capped Catbird,1
Black-capped Chickadee,3844445
Black-capped Gnatcatcher,4292
Black-capped Parakeet,1
Black-capped Petrel,5856
Black-capped Vireo,7640
Black-capped x Boreal Chickadee (hybrid),1
Black-capped x Mountain Chickadee (hybrid),377
Black-cheeked Lovebird,1
Black-chinned Hummingbird,302749
Black-chinned Sparrow,17976
Black-chinned x Anna's Hummingbird (hybrid),3
Black-chinned x Broad-billed Hummingbird (hyb,1
Black-chinned x Calliope Hummingbird (hybrid),5
Black-chinned x Rufous Hummingbird (hybrid),9
Black-crested Titmouse,185695
Black-crowned Night-Heron,557381
Black-crowned x Yellow-crowned Night-Heron (h,6
Black-faced Dacnis,1
Black-faced Grassquit,294
Black-footed Albatross,33263
Black-headed Grosbeak,410685
Black-headed Gull,7699
Black-headed Weaver,12
Black-headed x Ring-billed Gull (hybrid),34
Black-legged Kittiwake,49560
Black-lored Parrot,1
Black-necked Crane,1
Black-necked Stilt,450916
Black-necked Swan,617
Black-rumped Waxbill,23
Black-tailed Gnatcatcher,84073
Black-tailed Godwit,749
Black-tailed Gull,539
Black-tailed Trainbearer,1
Black-throated Blue Warbler,274257
Black-throated Canary,1
Black-throated Gray Warbler,157228
Black-throated Green Warbler,480098
Black-throated Magpie-Jay,815
Black-throated Sparrow,129217
Black-vented Oriole,421
Black-vented Shearwater,34536
Black-whiskered Vireo,5015
Black-winged Petrel,212
Black Crowned-Crane,1
Black Flowerpiercer,1
Black Francolin,2810
Black Guillemot,36579
Black Guineafowl,2
Black Kite,2
Black Noddy,3269
Black Oystercatcher,98765
Black Phoebe,1082851
Black Rail,4836
Black Rosy-Finch,6192
Black Scoter,158048
Black Siskin,1
Black Skimmer,177882
Black Storm-Petrel,14593
Black Swan,2521
Black Swift,6866
Black Tern,113319
Black Turnstone,90508
Black Vulture,1216438
Black x Eastern Phoebe (hybrid),32
Blackburnian Warbler,212273
Blackpoll Warbler,280432
Blue-and-yellow Macaw,752
Blue-bellied Roller,2
Blue-black Grassquit,4
Blue-breasted Quail,1
Blue-capped Motmot,1
Blue-crowned Parakeet,4192
Blue-faced Honeyeater,1
Blue-footed Booby,3501
Blue-gray Gnatcatcher,1571467
Blue-gray Noddy,39
Blue-gray Tanager,1
Blue-headed Parrot,1
Blue-headed Vireo,385607
Blue-throated Hummingbird,11164
Blue-winged Goose,6
Blue-winged Mountain-Tanager,1
Blue-winged Teal,784027
Blue-winged Teal x Northern Shoveler (hybrid),90
Blue-winged Warbler,168776
Blue-winged x Cinnamon Teal (hybrid),964
Blue-winged x Green-winged Teal (hybrid),40
Blue-winged x Prairie Warbler (hybrid),19
Blue Bunting,905
Blue Cotinga,1
Blue Dacnis,3
Blue Duck,1
Blue Grosbeak,361092
Blue Jay,5811549
Bluethroat,1334
Blyth's Reed Warbler,15
Boat-tailed Grackle,490405
Bobolink,224878
Bohemian Waxwing,28342
Bonaparte's Gull,375131
Bonin Petrel,7
Boreal Chickadee,21181
Boreal Owl,1991
Botteri's Sparrow,11418
Bourke's Parrot,1
Brambling,2490
Brandt's Cormorant,169745
Brant,218343
Brant x Cackling Goose (hybrid),5
Brewer's Blackbird,663586
Brewer's Sparrow,102307
Brewster's Warbler (hybrid),2365
Bridled Tern,3989
Bridled Titmouse,72971
Bristle-thighed Curlew,2263
Broad-billed Hummingbird,81112
Broad-billed x Violet-crowned Hummingbird (hy,1
Broad-tailed Hummingbird,173339
Broad-tailed Paradise-Whydah,14
Broad-tailed x Calliope Hummingbird (hybrid),11
Broad-winged Hawk,237098
Brolga,1
Bronze-tailed Peacock-Pheasant,6
Bronze Mannikin,812
Bronzed Cowbird,53779
Brown-capped Rosy-Finch,6904
Brown-chested Martin,3
Brown-crested Flycatcher,53701
Brown-headed Cowbird,2212141
Brown-headed Nuthatch,297476
Brown Booby,23432
Brown Creeper,672314
Brown Jay,269
Brown Noddy,3336
Brown Pelican,743398
Brown Shrike,227
Brown Thrasher,1001588
Budgerigar,864
Budgerigar (Domestic type),543
Buff-bellied Hummingbird,45814
Buff-breasted Flycatcher,5124
Buff-breasted Sandpiper,22618
Buff-collared Nightjar,1057
Bufflehead,1366063
Bufflehead x Common Goldeneye (hybrid),264
Bufflehead x goldeneye sp. (hybrid),3
Bufflehead x Hooded Merganser (hybrid),7
Buller's Shearwater,15610
Bullock's Oriole,262169
Bullock's x Baltimore Oriole (hybrid),530
Bulwer's Petrel,1180
Burrowing Owl,72071
Burrowing Parakeet,54
Bushtit,688086
Cackling Goose,246880
Cactus Wren,148346
