COMMON_NAME,SCIENTIFIC_NAME,obs
Bar-headed x Canada Goose (hybrid),Anser indicus x Branta canadensis,1
Black-capped x Boreal Chickadee (hybrid),Poecile atricapillus x hudsonicus,1
Black-chinned x Broad-billed Hummingbird (hyb,Archilochus alexandri x Cynanthus latirostris,1
Broad-billed x Violet-crowned Hummingbird (hy,Cynanthus latirostris x Amazilia violiceps,1
Canvasback x Ring-necked Duck (hybrid),Aythya valisineria x collaris,1
Clay-colored x Field Sparrow (hybrid),Spizella pallida x pusilla,1
Common x Hoary Redpoll (hybrid),Acanthis flammea x hornemanni,1
Common x Thick-billed Murre (hybrid),Uria aalge x lomvia,1
Dusky x Sharp-tailed Grouse (hybrid),Dendragapus obscurus x Tympanuchus phasianell,1
Great Knot x Surfbird (hybrid),Calidris tenuirostris x virgata,1
Hooded x Common Merganser (hybrid),Lophodytes cucullatus x Mergus merganser,1
Laysan x Black-footed Albatross (hybrid),Phoebastria immutabilis x nigripes,1
Lesser x American Goldfinch (hybrid),Spinus psaltria x tristis,1
Little Egret x Western Reef-Heron (hybrid),Egretta garzetta x gularis,1
Lucifer x Anna's Hummingbird (hybrid),Calothorax lucifer x Calypte anna,1
Magnolia x Yellow-rumped Warbler (hybrid),Setophaga magnolia x coronata,1
Northern Rough-winged x Violet-green Swallow ,Stelgidopteryx serripennis x Tachycineta thal,1
Northern Shoveler x American Wigeon (hybrid),Spatula clypeata x Mareca americana,1
Northern x Gilded Flicker (hybrid),Colaptes auratus x chrysoides,1
Pine Siskin x American Goldfinch (hybrid),Spinus pinus x tristis,1
Red Crossbill x Pine Siskin (hybrid),Loxia curvirostra x Spinus pinus,1
Red-tailed x Ferruginous Hawk (hybrid),Buteo jamaicensis x regalis,1
Redhead x Greater Scaup (hybrid),Aythya americana x marila,1
Ruby-throated x Black-chinned Hummingbird (hy,Archilochus colubris x alexandri,1
Slaty-backed x Glaucous Gull (hybrid),Larus schistisagus x hyperboreus,1
Steller's x Blue Jay (hybrid),Cyanocitta stelleri x cristata,1
Tree x Barn Swallow (hybrid),Tachycineta bicolor x Hirundo rustica,1
Tree x Violet-green Swallow (hybrid),Tachycineta bicolor x thalassina,1
Violet-green x Cliff Swallow (hybrid),Tachycineta thalassina x Petrochelidon pyrrho,1
Warbling x Red-eyed Vireo (hybrid),Vireo gilvus x olivaceus,1
Western x Eastern Screech-Owl (hybrid),Megascops kennicottii x asio,1
White-crowned x Harris's Sparrow (hybrid),Zonotrichia leucophrys x querula,1
Wood x Mandarin Duck (hybrid),Aix sponsa x galericulata,1
Bay-breasted x Blackpoll Warbler (hybrid),Setophaga castanea x striata,2
Canyon x Abert's Towhee (hybrid),Melozone fusca x aberti,2
Chipping x Clay-colored Sparrow (hybrid),Spizella passerina x pallida,2
Common Black x Red-shouldered Hawk (hybrid),Buteogallus anthracinus x Buteo lineatus,2
Eastern x Mountain Bluebird (hybrid),Sialia sialis x currucoides,2
Little x Snowy Egret (hybrid),Egretta garzetta x thula,2
MacGillivray's Warbler x Common Yellowthroat ,Geothlypis tolmiei x trichas,2
Mallard x Red-crested Pochard (hybrid),Anas platyrhynchos x Netta rufina,2
Mourning Warbler x Common Yellowthroat (hybri,Geothlypis philadelphia x trichas,2
Peregrine x Prairie Falcon (hybrid),Falco peregrinus x mexicanus,2
Red-backed x Red-tailed Shrike (hybrid),Lanius collurio x phoenicuroides,2
Surf x White-winged Scoter (hybrid),Melanitta perspicillata x deglandi,2
Tufted Duck x Greater Scaup (hybrid),Aythya fuligula x marila,2
Yellow-rumped x Yellow-throated Warbler (hybr,Setophaga coronata x dominica,2
Black-chinned x Anna's Hummingbird (hybrid),Archilochus alexandri x Calypte anna,3
Bufflehead x goldeneye sp. (hybrid),Bucephala albeola x clangula/islandica,3
Painted x Slate-throated Redstart (hybrid),Myioborus pictus x miniatus,3
Red-crowned x Red-lored Parrot (hybrid),Amazona viridigenalis x autumnalis,3
Western x Eastern Meadowlark (hybrid),Sturnella neglecta x magna,3
Yellow-rumped x Black-throated Gray Warbler (,Setophaga coronata x nigrescens,3
Clay-colored x Brewer's Sparrow (hybrid),Spizella pallida x breweri,4
Hooded x Yellow Warbler (hybrid),Setophaga citrina x petechia,4
House x Eurasian Tree Sparrow (hybrid),Passer domesticus x montanus,4
Mexican x Mottled Duck (hybrid),Anas diazi x fulvigula,4
Northern Bobwhite x Scaled Quail (hybrid),Colinus virginianus x Callipepla squamata,4
Sandhill x Common Crane (hybrid),Antigone canadensis x Grus grus,4
Western x Mountain Bluebird (hybrid),Sialia mexicana x currucoides,4
Black-chinned x Calliope Hummingbird (hybrid),Archilochus alexandri x Selasphorus calliope,5
Brant x Cackling Goose (hybrid),Branta bernicla x hutchinsii,5
California x Herring Gull (hybrid),Larus californicus x argentatus,5
Cliff x Cave Swallow (hybrid),Petrochelidon pyrrhonota x fulva,5
Eurasian x African Collared-Dove (hybrid),Streptopelia decaocto x roseogrisea,5
Golden-crowned x White-throated Sparrow (hybr,Zonotrichia atricapilla x albicollis,5
Rufous x Calliope Hummingbird (hybrid),Selasphorus rufus x calliope,5
Tufted Duck x Lesser Scaup (hybrid),Aythya fuligula x affinis,5
White-winged x Yellow-chevroned Parakeet (hyb,Brotogeris versicolurus x chiriri,5
Black-bellied x Fulvous Whistling-Duck (hybri,Dendrocygna autumnalis x bicolor,6
Black-crowned x Yellow-crowned Night-Heron (h,Nycticorax nycticorax x Nyctanassa violacea,6
Red-tailed x Rough-legged Hawk (hybrid),Buteo jamaicensis x lagopus,6
Ring-necked Duck x Greater Scaup (hybrid),Aythya collaris x marila,6
Ring-necked x Tufted Duck (hybrid),Aythya collaris x fuligula,6
Western x Eastern Kingbird (hybrid),Tyrannus verticalis x tyrannus,6
Western x Eastern Wood-Pewee (hybrid),Contopus sordidulus x virens,6
White-crowned x White-throated Sparrow (hybri,Zonotrichia leucophrys x albicollis,6
Bufflehead x Hooded Merganser (hybrid),Bucephala albeola x Lophodytes cucullatus,7
American Wigeon x Green-winged Teal (hybrid),Mareca americana x Anas crecca,8
American Wigeon x Northern Pintail (hybrid),Mareca americana x Anas acuta,8
Downy x Hairy Woodpecker (hybrid),Dryobates pubescens x villosus,8
Northern Pintail x Green-winged Teal (hybrid),Anas acuta x crecca,8
Black-chinned x Rufous Hummingbird (hybrid),Archilochus alexandri x Selasphorus rufus,9
Colima x Virginia's Warbler (hybrid),Oreothlypis crissalis x virginiae,9
Redhead x Lesser Scaup (hybrid),Aythya americana x affinis,9
Summer x Western Tanager (hybrid),Piranga rubra x ludoviciana,9
